ボート番号,節数,2連対率,勝率,事故率,1着,2着,3着,出走回数,優出回数,優勝回数
51,25,43.48,5.77,0.00,42,48,34,207,4,1
60,24,41.45,5.71,0.09,40,40,28,193,6,2
44,24,41.38,5.63,0.03,39,45,34,203,4,0
39,27,40.29,5.72,0.17,40,43,33,206,7,0
70,22,39.90,5.66,0.02,37,42,33,198,4,0
25,24,38.78,5.43,0.16,36,40,31,196,3,0
61,24,38.74,5.63,0.10,38,36,37,191,4,2
64,26,38.19,5.53,0.30,43,33,32,199,4,0
24,24,38.04,5.43,0.13,40,30,26,184,4,2
22,24,37.81,5.32,0.47,37,39,29,201,5,3
42,24,37.69,5.63,0.40,42,33,39,199,3,1
43,26,37.50,5.57,0.18,37,41,38,208,4,0
45,24,36.76,5.35,0.14,29,46,31,204,2,0
40,25,36.62,5.40,0.18,39,39,40,213,3,1
58,27,36.32,5.51,0.09,39,34,38,201,3,0
69,23,36.18,5.34,0.18,39,33,29,199,4,1
32,25,36.10,5.16,0.18,39,35,29,205,7,3
33,26,36.02,5.09,0.42,37,39,27,211,3,1
26,24,36.00,5.24,0.06,30,42,33,200,2,0
71,25,35.75,5.45,0.31,41,28,35,193,3,0
53,24,35.50,5.22,0.21,38,33,29,200,6,0
59,28,35.10,5.13,0.19,35,38,29,208,6,0
54,25,35.00,5.09,0.01,27,43,32,200,3,1
65,25,34.69,5.38,0.03,40,28,34,196,3,0
30,25,34.60,5.56,0.07,39,34,48,211,5,1
47,25,34.52,5.32,0.12,34,34,31,197,5,1
37,25,34.47,5.39,0.01,36,35,43,206,2,0
57,26,34.45,5.53,0.29,38,34,44,209,1,0
56,23,34.34,5.23,0.12,37,31,36,198,1,1
74,25,34.21,5.09,0.32,36,29,31,190,4,2
27,25,34.02,5.02,0.08,32,34,24,194,5,1
16,24,33.99,5.23,0.15,34,35,37,203,2,0
67,24,33.67,5.17,0.06,37,30,34,199,3,0
21,26,33.66,5.00,0.27,39,29,27,202,1,0
62,26,33.66,4.98,0.21,30,38,24,202,2,1
52,26,33.50,5.15,0.26,35,31,28,197,3,2
36,27,33.33,5.34,0.10,38,34,49,216,3,0
41,27,33.00,4.99,0.08,31,36,27,203,1,0
50,25,32.68,5.13,0.00,29,38,37,205,2,1
23,21,32.65,4.88,0.12,33,31,25,196,3,1
46,25,32.52,4.96,0.46,26,41,33,206,3,0
20,24,32.49,4.90,0.03,32,32,25,197,2,0
38,25,32.47,4.82,0.15,33,30,22,194,4,1
55,26,32.35,4.88,0.19,30,36,29,204,3,0
72,24,31.98,5.12,0.12,28,35,34,197,2,0
11,24,31.84,5.18,0.01,35,29,41,201,2,0
14,27,31.84,4.96,0.16,33,31,25,201,2,0
63,24,31.82,4.98,0.17,34,29,26,198,1,0
34,22,31.41,5.32,0.01,30,30,43,191,3,0
66,25,30.57,5.15,0.11,33,26,36,193,2,0
49,24,30.30,5.18,0.20,31,29,42,198,1,0
73,25,30.27,5.03,0.13,35,21,28,185,2,0
17,26,29.29,5.40,0.31,35,23,55,198,1,0
48,25,28.71,4.99,0.18,27,31,42,202,2,0
75,22,28.49,4.97,0.01,26,25,34,179,2,0
68,25,28.06,4.65,0.34,21,34,29,196,1,0
13,25,27.86,5.00,0.12,29,27,39,201,1,0
12,24,27.27,4.81,0.30,24,27,32,187,1,0
28,26,27.03,4.41,0.29,22,28,20,185,2,0
15,25,26.88,4.73,0.14,24,26,31,186,1,0
29,23,26.49,4.46,0.38,27,22,23,185,0,0
18,23,26.18,4.76,0.03,20,30,33,191,2,0
31,22,25.86,4.82,0.29,22,23,35,174,0,0
19,24,25.00,4.49,0.10,20,29,32,196,0,0
35,15,12.37,4.22,0.04,4,8,28,97,0,0
