1,古川 誠之,古川 誠之.1,2,柴田 大輔,柴田 大輔.1,3,百武 翔,百武 翔.1,4,西川　新太郎,西川　新太郎.1,5,中辻 博訓,中辻 博訓.1,6,高橋 直哉,高橋 直哉.1
2.0,3.0,16.1,1.0,3.0,67.4,1.0,2.0,152.2,1.0,2.0,116.2,1.0,2.0,129.1,1.0,2.0,748.7
2.0,4.0,13.7,1.0,4.0,53.8,1.0,4.0,117.4,1.0,3.0,156.1,1.0,3.0,103.3,1.0,3.0,683.2
2.0,5.0,14.8,1.0,5.0,55.6,1.0,5.0,78.4,1.0,5.0,45.3,1.0,4.0,72.5,1.0,4.0,651.6
2.0,6.0,43.3,1.0,6.0,112.1,1.0,6.0,201.9,1.0,6.0,109.8,1.0,6.0,114.2,1.0,5.0,635.3
3.0,2.0,20.7,3.0,1.0,174.8,2.0,1.0,259.1,2.0,1.0,230.8,2.0,1.0,251.4,2.0,1.0,983.8
3.0,4.0,14.2,3.0,4.0,168.3,2.0,4.0,233.9,2.0,3.0,387.8,2.0,3.0,450.0,2.0,3.0,1787.0
3.0,5.0,13.6,3.0,5.0,166.0,2.0,5.0,218.2,2.0,5.0,182.6,2.0,4.0,315.5,2.0,4.0,1080.0
3.0,6.0,38.6,3.0,6.0,259.8,2.0,6.0,323.5,2.0,6.0,268.7,2.0,6.0,351.8,2.0,5.0,1430.0
4.0,2.0,18.0,4.0,1.0,132.6,4.0,1.0,237.7,3.0,1.0,322.7,3.0,1.0,195.9,3.0,1.0,993.4
4.0,3.0,20.3,4.0,3.0,212.1,4.0,2.0,400.0,3.0,2.0,465.3,3.0,2.0,452.8,3.0,2.0,1975.0
4.0,5.0,12.9,4.0,5.0,139.0,4.0,5.0,212.8,3.0,5.0,274.2,3.0,4.0,314.5,3.0,4.0,1750.0
4.0,6.0,34.7,4.0,6.0,207.4,4.0,6.0,464.4,3.0,6.0,482.5,3.0,6.0,420.2,3.0,5.0,1591.0
5.0,2.0,27.1,5.0,1.0,156.5,5.0,1.0,159.0,5.0,1.0,49.2,4.0,1.0,81.8,4.0,1.0,781.0
5.0,3.0,23.8,5.0,3.0,246.3,5.0,2.0,387.8,5.0,2.0,115.0,4.0,2.0,185.5,4.0,2.0,1027.0
5.0,4.0,21.0,5.0,4.0,190.2,5.0,4.0,247.3,5.0,3.0,158.7,4.0,3.0,214.5,4.0,3.0,1571.0
5.0,6.0,40.9,5.0,6.0,262.4,5.0,6.0,392.0,5.0,6.0,68.2,4.0,6.0,99.1,4.0,5.0,514.8
6.0,2.0,99.4,6.0,1.0,400.6,6.0,1.0,657.5,6.0,1.0,188.5,6.0,1.0,211.1,5.0,1.0,652.5
6.0,3.0,116.9,6.0,3.0,654.1,6.0,2.0,914.6,6.0,2.0,279.8,6.0,2.0,411.7,5.0,2.0,1275.0
6.0,4.0,99.7,6.0,4.0,460.6,6.0,4.0,985.7,6.0,3.0,510.7,6.0,3.0,456.1,5.0,3.0,1318.0
6.0,5.0,92.8,6.0,5.0,478.4,6.0,5.0,775.0,6.0,5.0,141.2,6.0,4.0,210.3,5.0,4.0,518.5
