1,繁野谷　圭介,繁野谷　圭介.1,2,木下 翔太,木下 翔太.1,3,野中 義生,野中 義生.1,4,山本 隆幸,山本 隆幸.1,5,庄司　樹良々,庄司　樹良々.1,6,桑島 和宏,桑島 和宏.1
2.0,3.0,24.4,1.0,3.0,73.4,1.0,2.0,303.5,1.0,2.0,26.8,1.0,2.0,129.2,1.0,2.0,335.4
2.0,4.0,7.0,1.0,4.0,19.6,1.0,4.0,320.3,1.0,3.0,128.4,1.0,3.0,364.8,1.0,3.0,1127.0
2.0,5.0,19.1,1.0,5.0,51.1,1.0,5.0,460.0,1.0,5.0,32.6,1.0,4.0,108.4,1.0,4.0,539.0
2.0,6.0,25.6,1.0,6.0,60.8,1.0,6.0,567.1,1.0,6.0,46.6,1.0,6.0,178.8,1.0,5.0,897.0
3.0,2.0,46.4,3.0,1.0,225.4,2.0,1.0,384.9,2.0,1.0,38.3,2.0,1.0,203.4,2.0,1.0,402.7
3.0,4.0,47.1,3.0,4.0,170.2,2.0,4.0,255.8,2.0,3.0,161.4,2.0,3.0,585.2,2.0,3.0,1135.0
3.0,5.0,85.9,3.0,5.0,257.1,2.0,5.0,469.4,2.0,5.0,50.4,2.0,4.0,176.8,2.0,4.0,387.0
3.0,6.0,133.2,3.0,6.0,303.5,2.0,6.0,547.2,2.0,6.0,64.8,2.0,6.0,279.1,2.0,5.0,855.1
4.0,2.0,10.0,4.0,1.0,33.5,4.0,1.0,354.7,3.0,1.0,291.5,3.0,1.0,780.0,3.0,1.0,1741.0
4.0,3.0,39.8,4.0,3.0,121.1,4.0,2.0,322.6,3.0,2.0,253.4,3.0,2.0,824.4,3.0,2.0,1599.0
4.0,5.0,18.5,4.0,5.0,59.1,4.0,5.0,394.8,3.0,5.0,270.5,3.0,4.0,699.3,3.0,4.0,1763.0
4.0,6.0,27.6,4.0,6.0,62.6,4.0,6.0,549.4,3.0,6.0,363.5,3.0,6.0,1113.0,3.0,5.0,1867.0
5.0,2.0,44.4,5.0,1.0,148.6,5.0,1.0,683.1,5.0,1.0,35.7,4.0,1.0,108.3,4.0,1.0,557.2
5.0,3.0,117.6,5.0,3.0,351.6,5.0,2.0,522.6,5.0,2.0,38.9,4.0,2.0,122.1,4.0,2.0,362.5
5.0,4.0,46.3,5.0,4.0,123.2,5.0,4.0,506.6,5.0,3.0,145.5,4.0,3.0,409.1,4.0,3.0,1333.0
5.0,6.0,91.0,5.0,6.0,222.5,5.0,6.0,888.3,5.0,6.0,38.6,4.0,6.0,121.5,4.0,5.0,437.3
6.0,2.0,98.6,6.0,1.0,195.4,6.0,1.0,1217.0,6.0,1.0,73.2,6.0,1.0,379.7,5.0,1.0,980.1
6.0,3.0,298.7,6.0,3.0,503.8,6.0,2.0,1039.0,6.0,2.0,80.3,6.0,2.0,390.5,5.0,2.0,674.2
6.0,4.0,107.0,6.0,4.0,159.2,6.0,4.0,1139.0,6.0,3.0,271.8,6.0,3.0,960.7,5.0,3.0,1452.0
6.0,5.0,176.5,6.0,5.0,316.0,6.0,5.0,1364.0,6.0,5.0,69.2,6.0,4.0,248.1,5.0,4.0,480.0
