,0
lane5_exh_time,0.2411661148071289
lane4_three_rate,0.17626714706420898
lane2_three_rate,0.15412521362304688
lane6_three_rate,0.13059186935424805
lane5_three_rate,0.07900333404541016
lane3_three_rate,0.07669544219970703
lane1_three_rate,0.0658578872680664
lane1_two_rate,0.05495166778564453
lane1_first_rate,0.05184221267700195
lane2_two_rate,0.04231405258178711
lane1_exh_time,0.027427196502685547
lane3_two_rate,0.025924205780029297
lane4_first_rate,0.01728200912475586
lane1_fs_flag,0.013171195983886719
lane2_fs_flag,0.009757518768310547
lane6_fs_flag,0.009376049041748047
wind_sin,0.008920669555664062
wave_height,0.008738517761230469
lane6_exh_time,0.007236480712890625
lane2_exh_time,0.006060123443603516
lane3_first_rate,0.005114078521728516
lane5_two_rate,0.005006313323974609
wind_speed,0.004679679870605469
lane3_exh_time,0.00418853759765625
lane4_exh_time,0.0032949447631835938
lane2_first_rate,0.003021717071533203
lane4_two_rate,0.002274036407470703
lane6_two_rate,0.002155780792236328
lane6_first_rate,0.0017924308776855469
lane5_fs_flag,0.0007419586181640625
venue,0.0
lane5_motor_firsts,0.0
lane5_motor_two_rate,0.0
lane5_motor_first_rate,0.0
lane4_motor_first_rate,0.0
lane5_motor_starts,0.0
lane4_motor_three_rate,0.0
lane4_motor_two_rate,0.0
lane6_motor_starts,0.0
lane4_motor_firsts,0.0
lane4_motor_starts,0.0
lane3_motor_three_rate,0.0
lane3_motor_two_rate,0.0
lane3_motor_first_rate,0.0
lane3_motor_firsts,0.0
lane3_motor_starts,0.0
lane2_motor_three_rate,0.0
lane2_motor_two_rate,0.0
lane5_motor_three_rate,0.0
lane1_boat_starts,0.0
lane6_motor_firsts,0.0
lane5_boat_first_rate,0.0
lane4_boat_firsts,0.0
lane4_boat_first_rate,0.0
lane4_boat_two_rate,0.0
lane4_boat_three_rate,0.0
lane5_boat_starts,0.0
lane5_boat_firsts,0.0
lane5_boat_two_rate,0.0
lane3_boat_three_rate,0.0
lane5_boat_three_rate,0.0
lane6_boat_starts,0.0
lane6_boat_firsts,0.0
lane6_boat_first_rate,0.0
lane6_boat_two_rate,0.0
lane6_boat_three_rate,0.0
lane4_boat_starts,0.0
lane3_boat_two_rate,0.0
lane6_motor_first_rate,0.0
lane1_boat_three_rate,0.0
lane6_motor_two_rate,0.0
lane6_motor_three_rate,0.0
lane2_motor_firsts,0.0
lane1_boat_firsts,0.0
lane1_boat_first_rate,0.0
lane1_boat_two_rate,0.0
lane2_boat_starts,0.0
lane3_boat_first_rate,0.0
lane2_boat_firsts,0.0
lane2_boat_first_rate,0.0
lane2_boat_two_rate,0.0
lane2_boat_three_rate,0.0
lane3_boat_starts,0.0
lane3_boat_firsts,0.0
lane2_motor_first_rate,0.0
venue_id,0.0
lane2_motor_starts,0.0
lane2_boat_no,0.0
lane4_motor_no,0.0
lane4_fs_flag,0.0
lane4_course,0.0
lane4_st,0.0
lane4_racer_id,0.0
lane3_boat_no,0.0
lane3_motor_no,0.0
lane3_fs_flag,0.0
lane3_course,0.0
lane3_st,0.0
lane3_racer_id,0.0
lane2_motor_no,0.0
lane1_motor_three_rate,0.0
lane2_course,0.0
lane2_st,0.0
lane2_racer_id,0.0
lane1_boat_no,0.0
lane1_motor_no,0.0
lane1_course,0.0
lane1_st,0.0
lane1_racer_id,0.0
wind_dir_deg,0.0
weather_txt,0.0
water_temp,0.0
lane4_boat_no,0.0
lane5_racer_id,0.0
lane5_st,0.0
lane5_course,0.0
lane1_motor_two_rate,0.0
lane1_motor_first_rate,0.0
lane1_motor_firsts,0.0
lane1_motor_starts,0.0
lane6_firsts,0.0
lane6_starts,0.0
air_temp,0.0
lane5_firsts,0.0
lane5_starts,0.0
lane4_firsts,0.0
lane4_starts,0.0
lane3_firsts,0.0
lane3_starts,0.0
lane2_firsts,0.0
lane2_starts,0.0
lane1_firsts,0.0
lane1_starts,0.0
lane6_boat_no,0.0
lane6_motor_no,0.0
lane6_course,0.0
lane6_st,0.0
lane6_racer_id,0.0
lane5_boat_no,0.0
lane5_motor_no,0.0
wind_cos,-0.00234222412109375
lane5_first_rate,-0.0040607452392578125
